FECHA,DEPARTAMENTO,MUNICIPIO,TIPO_DE_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPARECIDOS,AFECTADOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,VIVIENDAS_AVERIADAS,LATITUD,LONGITUD
2018-01-01,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322,0,0,0,0,0,0,0,5.01450831,-73.48812352
2018-01-01,CUNDINAMARCA,GUASCA,DESLIZAMIENTO,25322,0,0,0,0,0,0,0,4.801276832,-73.84643485
2018-01-01,QUINDIO,MONTENEGRO,DESLIZAMIENTO,63470,0,1,0,1,0,0,0,4.521890945,-75.81806594
2018-01-02,ANTIOQUIA,ANORI,DESLIZAMIENTO,5040,0,0,0,15,3,1,2,7.193110778,-75.10848954
2018-01-02,CHOCO,LLORO,ACCIDENTE TRANSPORTE MARITIMO O FLUVIAL,27413,2,0,0,2,0,0,0,5.585101179,-76.38544449
2018-01-02,CUNDINAMARCA,UBALA,ACCIDENTE,25839,0,0,1,1,0,0,0,4.803805182,-73.47654604
2018-01-02,LA GUAJIRA,ALBANIA,CRECIENTE SUBITA,44035,0,0,0,335,83,0,83,11.22869049,-72.53209657
2018-01-02,META,CUBARRAL,CRECIENTE SUBITA,50223,4,0,0,4,0,0,0,3.834631516,-74.06232494
2018-01-02,META,LA URIBE,VENDAVAL,50370,0,1,0,10,2,0,2,3.047726858,-74.43066134
2018-01-03,ANTIOQUIA,PUERTO BERRIO,INCENDIO ESTRUCTURAL,5579,0,0,0,70,14,7,5,6.481922267,-74.5287421
2018-01-03,CALDAS,SUPIA,INUNDACION,17777,0,0,0,10,5,0,3,5.45295802,-75.64035705
2018-01-03,CALDAS,SUPIA,REMOCION EN MASA,17777,0,0,0,3,1,0,1,5.45295802,-75.64035705
2018-01-03,CESAR,CURUMANI,INUNDACION,20228,0,0,0,0,0,0,0,9.238771332,-73.48810861
2018-01-03,LA GUAJIRA,BARRANCAS,VENDAVAL,44078,0,0,0,120,24,0,24,10.94871677,-72.69696879
2018-01-03,RISARALDA,PUEBLO RICO,DESLIZAMIENTO,66572,0,0,0,0,0,0,0,5.286295408,-76.07359421
2018-01-03,TOLIMA,ORTEGA,DESLIZAMIENTO,73504,0,0,0,8,3,1,0,3.937793962,-75.27824314
2018-01-03,TOLIMA,ROVIRA,REMOCION EN MASA,73624,0,0,0,5,1,1,0,4.216730954,-75.34758364
2018-01-03,TOLIMA,ROVIRA,VENDAVAL,73624,0,0,0,0,0,0,0,4.216730954,-75.34758364
2018-01-04,ANTIOQUIA,COCORNA,ACCIDENTE,5197,0,0,1,1,0,0,0,6.005593074,-75.16015403
2018-01-04,RISARALDA,QUINCHIA,DESLIZAMIENTO,66594,0,0,0,0,0,0,0,5.323906864,-75.71339683
2018-01-04,SANTANDER,PUERTO WILCHES,ACCIDENTE,68575,1,0,0,1,0,0,0,7.398198257,-73.8354696
2018-01-05,BOYACA,CHIQUIZA,INCENDIO FORESTAL,15232,0,0,0,0,0,0,0,5.643075648,-73.44562391
2018-01-05,CESAR,AGUACHICA,INCENDIO FORESTAL,20011,0,0,0,0,0,0,0,8.248735219,-73.6227405
2018-01-05,META,PUERTO GAITAN,INCENDIO FORESTAL,50568,0,0,0,0,0,0,0,4.005034467,-71.63157429
2018-01-05,SUCRE,COVEÑAS,OTROS,70221,1,0,0,1,0,0,0,9.394449802,-75.6574915
2018-01-06,CUNDINAMARCA,GUASCA,INCENDIO FORESTAL,25322,0,0,0,0,0,0,0,4.801276832,-73.84643485
2018-01-06,CUNDINAMARCA,VIOTA,CRECIENTE SUBITA,25878,1,0,0,3,0,0,0,4.436054105,-74.48543339
2018-01-06,META,PUERTO LOPEZ,INCENDIO FORESTAL,50573,0,0,0,0,0,0,0,4.014298921,-72.64570499
2018-01-06,QUINDIO,SALENTO,OTROS,63690,1,0,0,4,0,0,0,4.611314654,-75.53092112
2018-01-06,SANTANDER,FLORIDABLANCA,DESLIZAMIENTO,68276,0,0,0,5,1,1,0,7.079704598,-73.0679925
2018-01-07,TOLIMA,VENADILLO,OTROS,73861,1,0,0,1,0,0,0,4.70988172,-74.92089886
2018-01-07,VALLE DEL CAUCA,FLORIDA,VENDAVAL,76275,0,0,0,25,5,0,5,3.304104295,-76.16477307
2018-01-08,CUNDINAMARCA,LA MESA,INUNDACION,25386,0,0,0,20,4,0,4,4.650773167,-74.47321717
2018-01-08,LA GUAJIRA,MANAURE,INCENDIO ESTRUCTURAL,44560,0,0,0,0,0,0,0,11.60554263,-72.57160392
2018-01-08,QUINDIO,CALARCA,VENDAVAL,63130,0,5,0,630,42,0,42,4.467879428,-75.65674719
2018-01-08,QUINDIO,CALARCA,VENDAVAL,63130,0,0,0,15,3,0,3,4.467879428,-75.65674719
2018-01-08,QUINDIO,CORDOBA,VENDAVAL,63212,0,0,0,10,2,0,2,4.395975176,-75.65132308
2018-01-08,SANTANDER,GALAN,INCENDIO FORESTAL,68296,0,0,0,0,0,0,0,6.671810994,-73.32467124
2018-01-08,SANTANDER,LEBRIJA,ACCIDENTE,68406,1,0,0,2,0,0,0,7.204060063,-73.29138097
2018-01-08,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,68655,0,0,0,0,0,0,0,7.4065422,-73.57131807
